ADC_raw,ADC_smooth,ADC_corrected,is_stable
16976.0,16982.876052651383,16955.95692819715,True
16985.0,16983.452174341222,16955.97801639309,True
16984.0,16983.88070165997,16955.851510217934,True
16988.0,16984.32173119982,16955.737506263882,True
16991.0,16984.772315093156,16955.633056663315,True
16975.0,16985.315180059268,16955.620888135527,True
16975.0,16986.131532568306,16955.882207150662,True
16979.0,16986.66568501268,16955.861326101134,True
16984.0,16987.218322800723,16955.858930395276,True
16991.0,16987.954159491186,16956.03973359184,True
16990.0,16988.56343595282,16956.09397655957,True
16978.0,16989.38496179472,16956.36046890757,True
16988.0,16990.22721883596,16956.647692454906,True
16983.0,16990.68326735343,16956.548707478476,True
16992.0,16991.025444289575,16956.335850920717,True
17001.0,16991.565911928574,16956.321285065816,True
17002.0,16992.2442448104,16956.44458445374,True
16995.0,16993.541653192016,16957.186959341452,True
16994.0,16994.085129869774,16957.17540252531,True
17000.0,16994.660074742907,16957.19531390454,True
16985.0,16995.284824596536,16957.26503026427,True
16988.0,16995.91686838344,16957.34204055727,True
16994.0,16996.555477875456,16957.425616555385,True
16997.0,16997.33090396175,16957.646009147775,True
16995.0,16997.96476540615,16957.724837098274,True
16931.0,16997.256455740233,16956.461493938456,True
16956.0,16997.167393435942,16955.817398140265,True
16993.0,16997.562002799794,16955.656974010213,True
16993.0,16998.089059388945,16955.628997105465,True
17003.0,16998.53123952929,16955.516143751905,True
17023.0,16998.873806795724,16955.30367752444,True
17038.0,16999.206784753715,16955.081621988527,True
17037.0,16999.748059269514,16955.067863010427,True
17031.0,17000.39547158356,16955.16024183057,True
17024.0,17000.78463671367,16954.99437346678,True
17036.0,17001.0677718233,16954.722475082504,True
17029.0,17001.358824229508,16954.458493994814,True
17034.0,17001.7828714886,16954.327507760005,True
17038.0,17002.69333437955,16954.682937157053,True
17034.0,17003.311195194754,16954.745764478354,True
17030.0,17004.003746003236,16954.883281792936,True
17021.0,17004.71159542896,16955.036097724755,True
17019.0,17005.531425955698,16955.300894757595,True
17004.0,17006.407079540477,16955.62151484847,True
16983.0,17007.550994902882,16956.21039671697,True
16941.0,17009.765545484155,16957.869913804345,True
17000.0,17010.443808456082,16957.99314328237,True
17004.0,17010.90654210809,16957.900843440475,True
17005.0,17009.92582558984,16956.36509342832,True
17014.0,17010.40325488616,16956.287489230745,True
17008.0,17011.01060591253,16956.339806763208,True
17005.0,17011.24340880447,16956.017576161248,True
16999.0,17011.430210979826,16955.649344842703,True
17007.0,17011.76822536379,16955.432325732767,True
